content	polarity
NU un ko tad tu noklusē, kas tad tika par PSRS naudu Latvijā uzcelts - HESi, dzīvojamās mājas un infrastruktūra, sabiedriskās celtnes un rūpnīcas utt.?	SPEECH
Vispār jau 80% vismaz uzbūvēja Siguldas PMK. Dienvidslāvi piedalījās tikai renes būvniecībā. Tā tas ir īstenībā, bērniņi.	SPEECH
Jāni, tad sāc ar sevi.	SPEECH
Vai tās nakts redzamības iekārtas, kuras ''pazuda'' no mūsu armijas noliktavas? :)	SPEECH
Ukraina kalpo par piemēro, ko kremlis dara ar saviem bijušajiem sabiedrotajiem.	SPEECH
Kremlim nepatīkamus komentārus portāls nepieņem.Vai tiešām arī šeit administrācijā sēž vate?	SPEECH
"Vienìgà patiesìba ir JV patiesìba :)\
Pàrèjais ir dezinformàcija...\
.Kaut kur jau 70tajos gados dzirdètas lietas :) :)\
Nav pareizi pat tas, ko KPV saka..un , ja kàdu no KPV Delfos rupji noķengà...tad tas ir tikai &quot;viedoklis&quot;, kuru pat nedzèsh :):)"	SPEECH
Kaut kāds fufeļains raksts, tiešām ja nav par ko rakstīt, tad neraksti neko.	SPEECH
Pievers uzmanibu ka PSRS milicijai un pat tagadējās krievijas bruņotajiem spēkiem tiek lietota piecstaru zvaigzne, kura simbolizē Sātanu....	SPEECH
"Tā nebija nekāda PSRS nauda. \
Saulceris naivi domā, ja nebūtu PSRS okupācijas, tad Latvijā neko neceltu, neko neattīstītu. \
Un vēl kā! Daudz kvalitatīvākā līmenī."	SPEECH
Tā tiešām ir,jo kremlis ir sācis &quot;pirmsreferenduma&quot; apstrādi attiecībā uz Baltkrieviju. Par maz viņiem Donbasa un Ukrainas,nu ķērušies klāt Baltkrievijai,atbrīvotāji nolādētie.	HATE
"Nu ja\
Jo tie kuri pērk no turienes naftu par to rūpējas lai tādas valstis nabadzībā dzīvo tādā veidā par naftu un citiem izrakteņiem maksājot tikai kapeikas realizējot nopirktos produktus par astronomiskām cenām pēc tam... \
\
Valstis kas pērk naftu un citas lietas no turienes par to arī rūpējas lai tur nepārtraukti haoss ir un nekārtības. "	SPEECH
"Nu protams ka ASV nepatīk, uztraucas. \
Bet vai tāpēc mums ESai vajadzētu no ESas NEATKARĪBAS, PATSTĀVĪBAS centieniem atteikties?\
Cits jautājums kā kurš no mums vispaŗ saprot ESas nākotni, t.sk militāros spēkus un to kā īsti visu organizēt, sakārtot. "	SPEECH
neka sarezgita tur nav,ta telefona lietosana pie auto stures,tas pats kas radio, dvd,navigatora,vai stikla tiritaja slotinu,lietosana,dziedasana,sarunasanas ar savu bernu,vispar ar laiku iemacisies,un vispar ja esi sacis braukt ar auto.var ieklut avarija,un ja nak kas jauns klat ir jatrennejas,ari uz simulatora.	SPEECH
Vai tad ir kāds tiesas process ECT kurā ir uzvarējusi šī olgalvaino idiotu valsts Latvija? Paskatieties uz valdību. Skrandaiņi no nekurienes. Alktīgi lopi,kuri piesauc valsts intereses lai piebāztu savas caurās kabatas. Ne pa velti reitingā par korumpētību ieņem vadošo vietu.Kāda var būt cieņa pret šo te veidojumu.....?	HATE
Vēl jau būtu ''jāpaceļ'' jautājums par sabiedriskā transporta ''dubultmonitorizāciju'', t.i., process, kurš sākās 2016.gada nogalē, lai Rīgas Satiksmes autobusou, trolejbusus, tramvajus aprīkotu ar dubultajiem monitoriem, kur vienā tiek radītas pieturas, otrā - RS aktuālā informācija un reklāmas. 2 gadi apkārt, bet nav saprotams, vai process jau ir noslēdzies vai vēl turpinās? Ikdienā izmantoju sab.transportu, un nākas secināt, ka bieži vien kāds no monitoriem nedarbojas. Ja autobusam vai trolejbusam jābrauc pa bedrainajām Rīgas ielām, tad laikam nav brīnums, ka monitori šo kratīšanos var arī neizturēt. Ehhh... 	SPEECH
Ne jau nodokļi ir vainīgi pie augstajām cenām, bet gan konkurences trūkums, kas pamatā skaidrojams ar aufsto korupciju jeb situāciju, kad var neefektīvi strādājoši uzņēmumi ar kukuļu palīdzību tikt pie valsts pasūtījumiem. Principā cenas atspoguļo korupcijas price premium, kas ir ierēķināts. Protams, ir arī uzņēmēju alkatība, bet to vajadzētu regulēt valstij, tikai pie mums jebkura uzņēmēju grupa ar korupcijas palīdzību var darīt ko vien vēlas. Tāpec nav jābrīnās, ka pie mums viss tikpat ja ne dārgāks kā vācijā, tikai algas piecas reizes zemākas.	SPEECH
Man nācās ilgi meklēt, kur var izprintēt (pats dzīvoju Anglijā 7 gadus un tur nekā tāda nav ) biju apsvēris domu lidot uz štatiem pēc nepieciešamās ortozes. Bet tepat priekš manis individuāli izstrādāja nepieciešamo! Milzīgs paldies viņiem par darbu un veiksmi turpmāk!	SPEECH
Nemuldi. Tā naturalizācija nav nemaz tik vienkārša un kad daļa krievu arī cīnījās par Latvijas neatkarības atgūšanu, tad viņus pēc tam uzmeta un pilsonību neiedeva. Viņiem pasēs ir rakstīts aliens, nevis non-citizens..	SPEECH
var ko smalkāk par Izraēlas aviācijas sasniegumiem pēdējā laikā?	SPEECH
Par sarežģītu tieši krievu tautības cilvekaM? Kādēļ gan citas tautības ar to tiek galā ?	SPEECH
Labāk būtu lidmašīnas nogāzuši . Tad nākamreiz labāk pārdomātu cik likumīgi Izraelas kara lidmašīnas atrodas Sīrijas gaisa telpā . 	SPEECH
ministrijas drabinieku, tad tev pie pensijas būs 5 Eur. To tu zināji?	SPEECH
skaiodrs ka ar pirmo reizi var ari nesanakt.	SPEECH
Propagandas aizliegšana ir komunikācijas brīvības ierobežošana , kura neatbilst demokrātijas valstu principiem .	SPEECH
jaunajiem arī kādi biznesiņi ir taču.	SPEECH
Kapēc es te ienācu pakomentēt? jo man viss ir apnicis, palieku stublāks ar katru komentāru un esmu mīkstais, jo nespēju neko vairāk par debīlu komentāru šeit ierakstīt. Esmu arī slinks un mana sieva ir parasti dusmīga, ka dzeru alko. Bērni izliekās, ka viss ir labi, jo viņi arī īstenībā ir glupi tāpat kā es, bet ko tur daudz, piemēru jau arī nekādu labāko šiem rādiju. Alga zema, nauda man patīk, bet aj gribās raudāt, gribu sist, bet netieku tālāk par šo sadaļu. Visi ir duraki, kuri runā patiesību, vajag tikai melot un varbūt pats tikšu saeimā. &lt; - 90% Delfi komentētāji. par sievietēm nerunāsim	HATE
"Protams,protams,atkal krievi vainīgi.\
Ja cilvēkiem ir loģiskas prasības ,tad noteikti tas nav labi priekš demokrātijas."	SPEECH
Un kādi advokāti stāv aiz šiem krimināļiem?! Rode vai Rusanovs?!	SPEECH
Ha, ha..tu nevienam neiestāstīsi,ka visu to Latvija uzcēla par saviem līdzekļiem. Tādiem lieliem projektiem bija tikai PSRS finansējums un protams ka Latvija viena pati tik daudz ko uzcelt nevarētu.	SPEECH
Vai Melnbārdei nav nekas sakāms par ideoloģiskām diversijām, kādas kultūras jomā regulāri notiek ? Gandrīz katrus svētkus latviešiem cenšas sačakarēt, bet NA ministre klapē ar ausīm un izliekas nemanām.	SPEECH
"Saulvedis atkal kārtējo reizi aizmirsa paskaidrot, kāpēc Latvija spiesta audzēt militāros izdevumus.\
Un par krimiešu iesaukšanu armijā, gribi teikt, ka Krievijas pilsoņi Krimā nav pakļauti karadienestam?"	SPEECH
kā tu nesaproti. Veikaliem būs lielāka peļņa, jo cenas taču zemākas nebūs. Un kuriem tur interesē veikalu bizness neuzminēsi? Pats taču viņus savēlēji &quot;ārzemniek&quot;	SPEECH
"Saulvedis atkal kārtējo reizi aizmirsa paskaidrot, kāpēc Latvija spiesta audzēt militāros izdevumus.\
Un par krimiešu iesaukšanu armijā, gribi teikt, ka Krievijas pilsoņi Krimā nav pakļauti karadienestam?"	SPEECH
Tev mēris??? Ej ŗstēties, pajolīt!	HATE
izstāsi man, kurš visu dzīvi nostrādājis par pasniedzēju, ko tik sliktu izdarīja Šadurskis. Mēs, profesionāļi, domājam, ka labāka ministra nav bijis. 	SPEECH
Zviedrijā balso tāpēc, ka tā būs Stokholma 2026 olimpiskās spēles, nevis Siguldas olimpiskās spēles. Siguldā notiks 3 sporta veidi jau esošajā bobsleja un kamaniņu trasē! Cik var cepties par lielajiem izdevumiem. Pielāgot trasi bobsleja četriniekiem un viss.	SPEECH
"Tie glupie žurrnālisti tik tagad par bērniem iedomājās, jašo lasa.\
\
Pretīga pasuga."	HATE
Apgabaltiesa ir par vāju, lai pieņemtu likumīgus spriedumus. Galvenais notiesāt, jo tā vieglāk.	SPEECH
Pirmais būtu jaaizklapē REN TV kas ir reāls krievijas propogandas kanāls! Visos viņu tematiskajos raidījumos pie visa vainīga beigās ir Amerika :-) Tas ir tik smieklīgi, bet reizē kaitinoši! 	SPEECH
precīzi!	SPEECH
Vai tad likvidēs 'izcilnieku' centru ? DDDDD	SPEECH
neesi pamanījusi, ka runa ir par izglītības ministru, nevis piedalīšanos modes skatē. Ak tad tā, kura apmeklē stilistu, bet ar vienu rievu smadzenēs, kā cita kandidāte ir labāka kā nākamā ministre. Zini Vecā, nobibini muļķu valsti, varēsiet stilīgus ministrus savēlēt.	HATE
Ja valsts labā strādās patiešām gudri juristi, tad nekādas zaudējumu piedzīšanas no valsts nedraud- tieši otrādi- ja pierādīs dažu ieinteresētu indivīdu izveidotu krāpniecības shēmu uz nodokļu maksātāju rēķina, piedziņa var tikt vērsta pret šiem OIK shēmas izveidotājiem un tiešajiem labuma guvējiem. Bet par to es dikti šaubos, izvērtējot KNAB un prokuratūras bezzobainību tieši pret lielākajiem krāpniekiem. Ceru, ka kādreiz pieķersies klāt arī fiksētajiem maksājumiem par pieslēgumu veidu un jaudu kā elektrības, tā gāzes jomā. Man par patērētajām 300kwh elektrības rēķins 60 eur, no kuriem 3/4 pieslēgumu maksas, tīklu apkalpošana, OIK un PVN	SPEECH
Atkal attaisnojums cenu pacelšanai. Mērgļi.	SPEECH
Ļoti zīmīgi, ka tatu redzams un silda tieši GLĀZES pacelšanas brīžos. :D	SPEECH
Ar šo interviju viņa pielika punktu savam ministres amatam. 	SPEECH
Es gribu, lai tur ir debesskrāpji, sen jau vajadzēja to graustu nojaukt, ko var ņemties ar Jūgendstila pērlēm, otrs krasts pilns ar tādām, skatieties, cik tik uziet!	SPEECH
Kā tad tā?!?! Pastalas tak mīl savus brāļus Kijevas nacistu cūkas... 	HATE
impērijas bieži vien savu sasniegumus balsta uz okupēto teritoriju darba spēku un prātiem. 	SPEECH
"Aha Dienvidosetija plaukst.....Abhāzija izrāvusies pasaules līderos!:D\
"	SPEECH
Šoreiz sīrieši malači, nenotrieca nevienu krievu lidmašīnu	SPEECH
Līdzjūtība bojā gājušā šofera ģimenei.	SPEECH
Vēl sešdesmitajos gados vietējā gastronomā bija kaņepju sviests. Garšīgs un daudz veselīgāks par visekoloģiskāko biosviestu.	SPEECH
...ECT runā ir tikai par viņa tiesībām piedalīties tuvinieka bērēs...	SPEECH
guna - kartējā, kompleksu mocītā, gaudotāja! Tu šodien neaizmirsti ar ždanoku un pārējiem ībļiem pamaršēt un pagaudot!&#x1F923	HATE
"Stībelis...\
dzirdēts uzvārds,bračka laikam."	SPEECH
Pardnieks ka vails bullis par visu varu grib kļut par ministru lai labklajību nodrošinātu laulībā un nelaulībā uztaisītiem bŗniem,bet tauta jau pateica ka tadam izvirtulim ka Paradniekam nav politikā vietas	SPEECH
Kā parasti - komentāros vairāk infas kā rakstā ;)	SPEECH
Viņam nevis kompensācijas jāsaņem, lode pakausī. Ļoti labi atceros to notikumu. Tas bija kas prātam neaptverams! 	SPEECH
Izdzimtenji ieskreejushies! Atcereejushies cilveekus un cilveeku tiesiibas, turpinot spiidzinaashsnu, tikai tagad paarmetushies uz negjeeliigi nobendeetaa Briezha gjimeni! Njirgaashanaas par justiiciju nav pat piemineeshanas veerta, pashi vien to izkaartojushi! 	HATE
Varbūt partijas sponsori kko piemet :D	SPEECH
Kādēļ dīzelis vienādā cenā ar benzīnu? Tam jābūt lētākam.	SPEECH
Pirmkārt tā ir ekonomika.......atpalikušai, nesakārtotai ekonomikai nekas arī labs nespīd........lai arī cik labs Parādnieks kā izcirtējs arī nebūtu	SPEECH
Aldis Alliks bija advokāts šajā ECT procesā	SPEECH
"Un vēl izrādijās, ka esam maza zaglīga tautiņa ar abām kreisajām rokām, kas pietam aug no pakaļas.\
Nekā personīga- tiksi fakta konstatacija "	HATE
Man ir 4 bērni. Bet šādas mammas sauc par, sterva. . Kuras speciāli dara lai viņas dabon exstru. Pasta ar savu tudleru paluksu iziet ārā un nomierināt savu tudlere ja ne tad visi ir cilvēki un visiem ir savas problēmas un uzspiest sev tīkamāko variantu iņ ļoti nogodigi. 	HATE
Diezgan skaidri pateica-maza alga,ministram lielāka.Ha!	SPEECH
Humānisms dažu likumdevēju izpratnē ir visatļautība.	SPEECH
"tie papildus norīkotie vagoni paši skries uz Siguldu?\
"	SPEECH
Pilnīgi iespējams, ka viņš jau ir pirmstermiņa atbrīvojies no cietuma (spriedumā norādīta dzīvesvieta, kas nav cietums)	SPEECH
Ko par šo saka personālspeciālists Citskovskis, kurš piesauc nepārtraukto attīstību, bet nespēj nodrošināt valstij juristus, vai vismaz juristu?!	SPEECH
Aukstā kara laikā bija izrēķināts, ka konvencionālā karā Padomju tanki varētu nonākt līdz Atlantijas okeānam divās nedēļās. Tāpēc ASV atteicās no solījuma pirmajiem nepielietot kodolieročus. 	SPEECH
Ja saņems kompensāciju, tad automātiski tā tiks nodota cietušajai ģimenei, jo noteikti vēl nav atlīdzinājis visu piespriestu zaudējumu atlīdzību.	SPEECH
tu laikam gribēji teikt - Hesbollai, nevis Libānai. Nav dzirdēts, ka Libāna būtu izteikusi tādu vēlēšanos.	SPEECH
NU ja tu tā uzskati, tad rīkojumu.	SPEECH
Precīzi, un turklāt rakstā minēts, ka viņa jau ir kandidējusi gan Saeimas, gan pašvaldību vēlēšanās. Laikam būs no tām, kuras “jāatmodina” Rubenim ar saviem kursiem. 	SPEECH
bet tam jābūt juridiski noformulētam, un tas nav tik sarežģīti!	SPEECH
Gemīt, nav tādas Hesbollas valsts, bet ir Libāna un iespējams ka drīz varēs dzirdēt tādu vēlēšanos..	SPEECH
"Korumpētāko valstu reitingā Latvija ieņem 44. vietu. Tas ir pārāk augstu, protams, taču tā nav vadošā vieta. \
"	SPEECH
Tavos uzņēmumos? Pvn shēmošanai pārgudri finansisti nav vajadzīgi	SPEECH
Tests	SPEECH
Protams! Gobzemes sabiedrībai vajag linča tiesu!	HATE
un iespējams, ka nē.	SPEECH
"Nu ko, cenzēsim internetu un aizliegsim runas brīvību?\
Bet es, naivais tāds, domāju, ka tādas lietas pie mums atšķirībā no Ziemeļkorejas ir aizliegtas."	SPEECH
Mani gan vairāk interesē kā nopirkt normālu malku. Lai nav tā ka sarunājot ir viena cena, bet atvedot pēkšņi ir cita un ja sarunātā cena bija epastā, tad izrādās ka pārdevējs epastu nemaz neizmanto un vispār nezina kas tas ir un tamlīdzīgi. Ar briketēm tas pats. Nopērc tonnu, bet atved par 60 kg mazāk un iepakots ar tādiem caurumiem vidū, ka neko nepateiksi kamēr nesakrāmēsi.	SPEECH
Cik mums ir vēl palikuši tanki? Ar tiem braukt var.	SPEECH
Labvakar! Kamīns kalpo gaisa apmaiņai un pavisam nedaudz siltumam un, ja kamīntelpa kalpo viesiem (pat līdz 12 st.), tad... Pat ar mitru malku kurinot ir gana bieži tā jāpiemet. Ja tev nav cita ko darīt, tad skrej un met un netupi pie datora. Uzfrišinātas un dekoros kaltās godmaņkrāsniņas visai nosacīti ir kamīni. Esmu gana redzējis kurtuves ar nosūbējušiem priekšstikliem, kurus arī pa īstam vairs notīrīt ir nereāli. 	SPEECH
Latvijā! Atkal tev Indija priekšā.	SPEECH
Citāda jau nu reti mēdz būt, un ,ja ir tad cena fantastiska, jo ir ielikts liels roku darbs. 	SPEECH
Šodien hokeja nav.	SPEECH
Pat veikalā var nopirkt priedes darvu	SPEECH
Un par saprašanu runā persona, kas veselu tautu apsaukā par zaglīgu? Simptomātiski.	SPEECH
Vai tas ir ieteikums, skaidrojums vai jautājums? 	SPEECH
Liekas, ka to nevajadzētu darīt.	SPEECH
S-300 darbības rādiuss ir 300 km, acīmredzot tie ļotaki atrādās tālāk..	SPEECH
Armijas izdaiļošana un tehnikoloģija Latvijā vienreiz būs jāizbeidz.	SPEECH
Kad pēc 20 gadiem Izraēla izvācās no Libānas, Hezbola sāka apšaudīt Izraēlu ar raķetēm. 	SPEECH
Kas cels Latviju, ja ne Kariņš. 	SPEECH
"pilnīga herņa bezjēdzīgs raksts žurnālists idiots\
"	HATE
Kopā ar Kariņu. Kopā ar dzimteni Latviju.	SPEECH
Latvija var būt nākotnē tik pat labi attīstīta, kā ASV.	SPEECH
Lidmašīnām ir lielāks izmērs, tāpēc vajag lielāku precizitāti. Raķetes ir mazākas, tāpēc pietiek ar mazāku precizitāti.	SPEECH
Liekas, ka ar Kariņu kopā mums beidzot būs hokejs olimpiādē.	SPEECH
krievi F35 redz tikai vizuaalaa kontaktaa...	SPEECH
šitās peršas ir sen apnikušas un vislabāk būtu, ja tādus kā tu, ķāds no slepkavniekiem tevi arī piebeigtu. Pasaulē nekas nenotiek tāpat vien; visam ir cēloņi un sekas.	HATE
Kas ir varžu dīķis? 	SPEECH
Kompensācija par apstākļiem slimnīcā (pielietotajiem speclīdzekļiem).	SPEECH
Sūdzība jau nav par nepatīkamām sajūtām aizturēšanas brīdī.	SPEECH
Cik var klausīties pastalniekus, ka Rīga būs latviešiem? Tukši solījumi. Vai var nosaukt par propagandu. Atkal Rīga Ušakovam. 	SPEECH
"Skaties, atsaldeni, ka pašu tevi kāds nepiebeidz!\
"	HATE
Krievu raķetes orientētas tikai uz civīlas aviācijas lidmašīnām un kukuruznikiem.	SPEECH
Zane, runājat par šo nozagtās valsts sabiedrību, kura kaut ko gribot? Un vēl kaut ko gribot? Un kaut ko pieprasa bez ieguldījuma?	SPEECH
A nevar vēlreiz pārskatīt spriedumu un piespriest viņam nāves sodu? Interesanti vai Hanibalam Lekteram arī Eiropa ļautu braukt brīvdienās ārpus cietuma? To mūdzi vajadzētu pārsūtīt vai nu uz Krievijas vai Amerikas nēģeru cietumu, tur ar viņu ātri tiktu galā. Tur bērnu slepkavas ilgāk par nedēļu nedzīvo.	HATE
Atliek gaidīt, kad būs valdība. Būs beidzot ekonomika, drošība, aizsardzība utt.	SPEECH
"Atdzīvināt un veikt nāves sodu.. :D\
"	SPEECH
Maksas medicīna( un ne tikai )boikotē kur vien var, lai bremzētu -neieviestu apdrošināšanu. 	SPEECH
Cūkas gads sâcies....par kâdu iedvesmu iet runa....	SPEECH
Latvijas aizsardziba.	SPEECH
Ja skatās pēc vairumcenas, tad Diesel cenai LV tankā būtu šodien jābūt 1,10, bet ir 1,17. Laba peļņa. Tas liecina, ka trūkst konkurences, vai arī ir kartelis. Ko dara ierēdņi? Tas nekas, ka LT ir 1,03. 	SPEECH
Kas smiltīs pa skaistumu	SPEECH
"Miltāristu izpriecas sit augstu vilni, Latvija ir valsts, kur valda militārisma kults. Arī Linezera slimnīcu, kas bija labā stāvoklī, pievāca militāristi, jo kāpēc vajag ārstēt cilvēkus, ja tā vietā var grūst naudu ieroču tirgoņu rīklēs un pilidīt militāristu kabatas?!\
"	SPEECH
Iesniegs bažīgu rezolūciju ANO. Akurāti, kā to izdarīja pēc Ziemassvētku bombardēšanas. Par uzslietajās vundervafelēm s-300 kautrīgi paklusēs.	SPEECH
Ja nav noslēpums, padalieties :)	SPEECH
Itkā Parādniekam kā ministram pienāksies auto ,es piesakos par šoferi ,jo man ir liela prakse kādreiz vizināju mākslīgo apsēklotāju pa fermām 	SPEECH
Izraēla nav pilnībā izvākusies no Libānas!	SPEECH
Nāvi okupantiem	HATE
Pateicoties Parādniekam NA tika saeimā ,jo lielākais vairums balsoja tikai tādēļ par NA lai varētu izsvītrot Parādnieku 	SPEECH
Nemaz nezināju, ka Londons pārdzēra jēgu un atmeta asti 40 gados, viens no maniem jaunības dienu top rakstniekiem, tā vai tā , - prozit!	SPEECH
Kur Libānas teritorijā atrodas Izraēlas spēki?	SPEECH
Fakti ir tādi ka 95% Izraēlas raķešu ir notriektas! Naks mierīgāks laiks, tad arī atkarosim Golanas augstienes!	SPEECH
Viņš ir meminists.	SPEECH
"Kopumā abu šo īpašumu platība nepārsniedz vienu hektāru.\
...............................................................................\
ja kremļa ceturtdaļa, vesels 1 hektārs, gandrīz puse Latvijas :))))"	SPEECH
Jā jā, viņš jau nu nezināja kur un kāpēc vinš tur 	SPEECH
Vieglāk tak ir pārrakstīt latviski TASS preses relīzi.	SPEECH
Atliek tikai pārdzīvot. Ka mums atkal nauda aiziet kaut kur, kur negribētos, lai tā aiziet. Cerams, ka viss tiks savest kārtībā, un mums nebūs atkal lieki izdevumi.	SPEECH
Jā, te ir padomju prakse, neizskausta.	SPEECH
Latvieši spriež par Sīriju - bet RLB 1938. gada statūti tiem šķiet mazsvarīgi!	SPEECH
Tu paustiņ laikam neko neesi dzirdējis, ka mērķus var novērot arī ne tikai no zemes.. )	SPEECH
Ierosini, uzvari, kur problēma?	SPEECH
Veseli 3000, varētu būt liela summa. Cerams to atradīs. 	SPEECH
Tie nav fakti, bet tukšvārdība.	SPEECH
Es esmu Muslims un PSRS un Krievijas patriots, un, protams atbalstu Asadu.	SPEECH
Toties es esmu dzirdējis, ka S-300 prasa mērķa apstarošanu ar uguns vadības radaru. Bet tie radari pa gaisu nelido	SPEECH
Pārmērīt kubatūru? Normāli malku mēra steros, nevis kubos. 	SPEECH
... tas tikai nozīmē to, ka visatļautības valstij ir izdevīgi turēt tautu bailēs!	SPEECH
Kā? krievi nav jūsējie? Tu rusofobs esi, vai?	SPEECH
Visu Latvijas austrumu robežu vajag pārtaisīt par militāro bāzi.	SPEECH
Pretīgi	SPEECH
Man galīgi neinteresē, ko tu esi dzirdējis, pie tam tie Sīrijā nogādātie S-300 ir modernizēti.	SPEECH
Bildē šāvējam uz acīm nakts redzamības imitators, vai kas?	SPEECH
Jā, paritātei vajadzēja pierakstīt arī tās sieviešu analoģijas varoņdarba aprakstu. Bet mēs pat vārdu nezinām.	SPEECH
Parādi pid.arast, kuram Latvijas militāristam ir zelta pods. 	HATE
drīzāk jau vai kas.	SPEECH
100+ gadus cīnījās par sieviešu līdztiesību - lūdzu, saņemiet un parakstieties!	SPEECH
Guntim selektīva atmiņa, nīderlandiešu un portugāļu drupačvalstiņas neatminas. 	SPEECH
Tt..taču Latvijas Radio1 savulaik bija vairāki raidījumi, kas skaidri lika noprast, ka toreizējo jauniešu atzīšanās noziegumā tikusi pratinātāju izsista un patiesībā viņi diez vai šo noziegumu pastrādājuši. Kā tad īsti bijis, nevar saprast!! :P:P	SPEECH
KPV LV ir partija ar nosaukumu ''Kā piesmiet valsti LV.'' tamdēļ jau bīda tādus ministru kandidātus.	SPEECH
otrs arii pie mums hroniski slimo ar mistisko Labumu Viiziju Kaiti no RUS.......	SPEECH
Reti pretīgs tips par kuru Delfiem jāraksta katru dienu. Nožēlojami.	SPEECH
Neskaties uz bildēm. Uz sētas arī rakstīs XUIJ, a iekšā stāv malka.	SPEECH
"Fakts nr.1- neko no ziņas par Kirilu nesaprati.\
Fakts nr.2- es izmantoju izcilnieku retoriku. \
Kaut reāli varu to pierādit arī ar faktiem."	SPEECH
Paskaties, cik naudas tiek izmests metāllūžņu iepirkšanai, armijnieku algas, ppiemaksas, prēmijas utt. Caurums, kur aizplūst milzums nodokļu maksātāju naudas. Efektivitāte no šīs rosības civilajiem ir nulle. Ja ieguldītu medicinā, izglītībā vai lauksaimniecībā valsts nebūtu atpalicēju saraksta virsotnē.	SPEECH
Droši vien krievi vainīgi!	SPEECH
Delfi laikam skatās tikai krievu ziņas, un kā papagaiļi atkārto- kur ir mazākais pamats šādam virsrakstam, var būt baumās	SPEECH
Droši vien krievi vainīgi!	SPEECH
Mums pat pastāv ilgtermiņā gada maksas bankām, piem. SWEDBANK.. Pajautājiet zviedriem viņu zemē, vai viņiem arī ir ieviesta šāda maksa? Atbilde jūs varētu pārsteigt. Esam ar vien kolonija nevis valsts, kur politmafijas bandas realizē savas intereses.. Lobiji un korupcija te visaugstākā līmeņa.. 	SPEECH
Atkal bez tankiem, tas jau nav nopietni.	SPEECH
ko mums darit iskart karogus caune aizbraukusi vaid tad nav par ko rakstit rakstiet par sandru bollucu neka cauni	SPEECH
"\
Urà! \
Beidzot Amerikai viens shtats nàks klàt ?"	SPEECH
Kā lauksaimniecībā tagad? Bez tankiem utt., bez traktoriem?	SPEECH
nevis pret Latvijas republiku bet par nacionālu un suverēnu valsti. 	SPEECH
Tiesnešus nozīmē Saeima, nevis kaut kāds tur MK klerks.	SPEECH
Ja deklarācijas teksts ziņo, ka jāturpina naudas šķiešana &quot;kompetencēs balstītās&quot; ākstībās, tad ministrs tur neko nemaina: visu nosaka aptetīte, kas aprij skolotāju algas...	SPEECH
...ECT šajā gadījumā pieņēma lēmumu par to, ka likumiem ir jābūt vieniem priekš visiem...es neapspriežu konkrēto indivīdu( viņu jau 20 gadus atpakaļ ir sodījušas Latvijas tiesas pēc Latvijas likumiem)...:)	SPEECH
Vispār paradokss !! Tiek padarīti par nosodāmiem cilvēki kuri pilda valstī noteikto likumdošanas aktu. Iedomājieties šādu situāciju piemēram Zviedrijā-žurnālists nosoda uzņēmēju kurš maksā Zviedrijā noteiktu minimālo darba samaksu. WTF ? Tad pieņemiet likumdošanā cilvēka cienīgu samaksu par darbu.	SPEECH
"Nu neteiks,ka terorakts,lai cilvēkus nemusinātu.Kā Magņitagorskā redzēti divi auto,zem mājas caurbrauktuvē,viena uzsprāgusi...Tās iedzivotājs, gājis agri no rīta uz garažu...\
\
Kapēc,sabiedrotie klusē,ne aizstāv,ne nosoda Makronu?"	SPEECH
Kā ēdīsi, tā dzīvosi.	SPEECH
Uz papīra jau pārspēj gan. Tikai maziņš sīkumiņš. Krievi to S-400 nemaz nevar vairs saražot eksportam, jo nav elektronikas. Par S-500 nerunājot. Kā piegrieza ārzemju detaļas, tā arī viss eksports apstājās. Un arī saražotie S-400 šauj ar vecajām raķetēm, jo pat modernas raķetes krievi vairs nespēj saražot. Tāpēc jau žīdi ņirgājas kad grib un kā grib...	SPEECH
C vitamīns vienmēr visiem būs vajadzīgs.	SPEECH
Vai bija aicinājums no tuviniekiem par piedalīšanos bērēs uz ko tiktu aiztransportēts roku dzelžos . Ja nebija tad kādas vēl tiesas ?	SPEECH
Rīt Dinamo ar spēlē. Pret Traktoru, jābūt veselam. Ja nu ļoti labi nospēlē bez Videla. Dinamo var tā nospēlēt. Pavlovs liekas spēlēs. 	SPEECH
Tak neesi gudrāks par mani, ja nevari paskaidrot.	SPEECH
Galvenajam krievu pindosam jau nesanāk, kaut gribās ļoti.......bet visām trešās pasaules valstīm, kuru budžetus veido dabas resursu pārdošana iet grūti, cenas lejā.......Kuzņecovs ar saplīsa......nu galīgi neiet......	SPEECH
Lipmanis pazudis ar visām savām tabletēm. Kādreiz hokejs mums bija labu labais.	SPEECH
Zvēri ir godīgāki, nogalina tikai paēšanai.	SPEECH
Pēc 9.februāra būs interesanti, ko varēs, ko nē bez receptēm nopirkt.	SPEECH
Vai tu, alni, vispār zini par ko ir raksts!?	SPEECH
Kaut kā jocīgi... man būs 60 un 5 gadi vēl jāstrādā, bet te 50 un jau pensija... 	SPEECH
Drīz Kariņš arī būs ar savu valdību. Daudz, kas var mainīties.	SPEECH
Gaidam Kariņu, valdību.	SPEECH
Viņai ir trīs bērni.	SPEECH
Vai tavuprat Latvijai vajadzētu vispār atteikties no armijas un izstāties no NATO? Kadas tam būtu pozitīvās sekas? Un kādas negatīvās?	SPEECH
Pilnīgi piekrītu. Vajag pāris apgraizītos nogāzt gar zemi (kā tikko tas būs iespējams), lai nelien kur neprasa...	SPEECH
